Commodity,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019
01 Live Animals,"772,193","2,735,295","575,410","513,303","412,544","891,377","886,743","1,644,213","863,735","398,464","130,824","420,284","327,512","329,329","616,546","546,138","458,238","676,112","382,819","1,017,227","902,707","498,168","555,322","89,405","158,054","1,276,680","399,593","383,439","648,357","3,625,581","2,491,004","575,443","895,481","1,674,546","255,322","4,343,015","143,060","212,766","2,591,785","1,801,743","2,785,120","1,575,352","664,085","852,566","1,336,211","1,265,884","596,400","765,054","4,526,008","4,841,377","4,220,013","6,227,081","4,678,475","512,846","280,296","594,788"
02 Meat And Edible Meat Offal,"21,369,220","15,530,367","24,437,615","29,552,939","34,011,271","29,631,284","35,187,575","31,035,825","34,644,181","29,070,241","24,487,249","26,658,601","31,493,577","37,649,648","51,369,129","54,481,396","68,625,708","61,209,690","56,318,904","41,171,673","40,696,683","45,048,219","50,061,296","46,484,627","35,303,489","44,180,344","50,423,798","47,449,412","56,976,343","49,284,597","33,152,817","35,321,748","35,959,742","41,657,019","47,571,788","44,618,537","41,999,915","44,669,451","49,058,033","51,389,220","38,194,393","30,058,255","20,694,639","19,104,251","20,810,301","19,298,646","24,354,198","31,543,206","30,882,865","33,341,301","39,339,171","47,402,735","56,703,351","78,839,774","130,612,316","117,818,696"
"03 Fish, Crustaceans & Aquatic Invertebrates","34,517,333","79,435,553","117,466,789","71,576,877","86,334,333","43,413,660","72,406,076","159,893,877","149,237,625","82,920,578","68,618,711","42,121,473","26,746,285","74,886,119","100,758,385","78,812,067","75,994,953","58,159,150","95,720,537","119,555,796","106,059,682","90,358,474","57,812,829","64,366,660","45,815,811","60,369,801","119,923,132","110,079,365","60,151,849","66,554,342","103,893,135","174,797,280","186,268,646","123,190,185","84,739,096","99,943,780","55,924,587","100,565,230","114,582,303","109,770,406","89,477,089","86,251,533","79,542,320","111,236,192","117,986,004","78,957,031","71,107,164","49,312,194","39,677,317","69,119,306","99,050,398","71,522,226","71,455,325","46,259,353","73,068,233","128,948,895"
04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,"17,280,731","21,095,657","28,286,649","33,023,011","37,718,365","28,247,642","23,302,392","23,812,074","18,220,130","21,032,019","22,138,992","19,447,315","15,221,950","18,654,652","16,598,745","17,262,001","22,176,613","22,136,513","25,343,651","23,792,145","19,730,264","24,627,696","26,594,438","33,472,452","26,867,016","34,656,307","37,964,200","34,421,173","37,958,275","34,318,527","32,822,738","35,703,795","31,884,559","35,289,841","32,270,651","33,548,705","23,061,222","30,659,361","40,917,177","42,794,232","38,837,513","31,804,783","20,321,003","19,610,708","13,341,512","16,775,755","17,528,474","18,961,732","13,609,349","14,310,232","16,893,299","14,624,053","14,084,212","16,678,402","14,340,124","11,349,177"
"05 Products Of Animal Origin, Nesoi","17,273,519","14,954,845","24,928,868","24,514,718","25,390,025","25,569,330","24,822,258","22,188,590","23,994,976","15,800,649","19,182,308","27,580,407","18,500,213","24,737,772","26,640,419","22,824,233","23,336,922","21,718,167","21,057,262","17,698,422","18,291,416","18,934,600","19,289,598","21,055,991","17,668,288","17,224,191","24,214,962","21,100,152","23,294,511","20,367,851","19,402,756","23,779,495","21,404,259","23,492,424","26,463,005","28,979,079","22,846,126","20,941,389","28,098,058","30,382,992","29,676,581","30,757,769","26,799,867","26,834,362","21,505,860","28,940,817","25,843,715","24,469,498","24,735,906","21,272,572","26,272,777","24,202,107","26,333,433","24,281,663","22,447,717","23,461,330"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","424,527","643,807","3,114,329","448,855","145,584","227,454","171,297","340,302","755,847","521,140","202,072","274,527","535,804","601,930","2,259,448","259,590","235,276","126,279","267,514","166,869","272,722","335,824","117,941","292,457","122,927","654,501","672,140","390,101","273,741","157,313","161,942","278,835","220,911","325,719","266,537","951,671","281,534","385,234","819,286","275,995","431,577","229,364","269,802","295,047","161,630","616,058","316,951","496,227","293,266","742,863","381,940","398,966","463,321","541,081","490,794","267,023"
07 Edible Vegetables & Certain Roots & Tubers,"2,898,121","9,950,706","6,389,571","3,132,642","2,699,094","2,728,093","1,752,662","4,264,906","4,491,124","4,197,207","3,483,355","3,139,140","1,397,893","1,414,605","2,698,809","2,472,634","3,203,918","2,252,876","2,373,265","12,951,147","2,687,590","2,373,828","3,213,695","3,082,340","2,962,199","2,098,511","4,459,771","3,915,518","5,119,981","8,699,020","2,919,232","4,312,594","3,258,937","2,803,686","3,043,449","3,981,271","1,946,649","2,969,961","3,123,184","4,124,911","4,152,274","2,782,271","2,010,835","1,764,766","2,688,968","2,271,629","2,035,076","4,014,730","2,625,865","2,060,740","2,247,954","2,514,125","3,292,876","2,022,545","1,759,239","2,068,448"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,"20,327,172","16,215,303","34,737,193","27,013,295","28,508,224","44,342,216","45,317,132","16,432,997","21,816,694","35,867,283","32,283,309","27,352,150","15,800,819","25,476,766","21,251,785","23,942,754","28,836,421","50,918,058","52,669,641","21,617,244","23,358,637","30,645,693","52,001,956","33,127,784","17,650,773","19,237,314","24,932,016","30,503,995","36,042,005","36,619,372","96,145,510","36,687,893","24,791,458","44,699,105","70,813,921","50,976,885","31,053,200","30,600,481","46,387,280","34,607,819","18,698,408","48,707,759","66,517,414","17,508,386","22,584,636","36,451,555","58,706,661","39,114,601","18,667,353","19,848,789","26,565,808","43,473,881","46,534,708","54,320,028","83,615,780","36,208,908"
"09 Coffee, Tea, Mate & Spices","1,244,172","1,594,370","947,925","732,593","1,621,606","754,793","1,836,897","1,114,857","870,437","829,654","1,299,763","855,634","876,182","974,929","2,333,270","1,129,762","2,038,977","1,282,840","1,800,340","1,258,494","1,206,217","933,175","1,895,090","1,677,891","1,515,033","2,073,017","1,568,218","1,763,317","1,901,116","2,332,860","2,136,041","1,093,587","1,770,918","1,198,834","2,658,780","2,185,423","3,294,902","2,133,456","2,511,978","2,522,646","2,324,473","1,486,125","1,940,142","1,796,822","2,096,609","2,026,903","5,225,413","1,943,973","2,485,211","1,306,566","1,168,035","2,531,710","1,691,880","1,226,012","2,142,570","1,535,932"
10 Cereals,"183,147,547","239,260,848","288,334,078","244,992,586","173,762,070","89,726,518","213,533,943","197,199,387","292,734,320","159,214,501","250,393,115","134,062,325","134,280,434","110,316,379","133,610,859","150,597,684","72,014,882","83,465,970","155,021,082","117,705,992","66,135,745","34,860,144","69,381,363","167,403,459","165,771,602","80,261,258","116,540,398","106,426,456","159,993,970","101,003,420","192,131,086","102,171,205","87,021,412","36,045,302","113,307,395","87,550,869","118,225,810","171,606,980","195,100,176","155,381,968","29,072,277","1,492,654","261,288","11,069,018","1,098,252","2,470,128","1,728,917","1,337,895","1,752,922","1,169,784","10,913,551","126,625","33,011,849","71,240,242","10,440,424","43,767,060"
11 Milling Products; Malt; Starch; Inulin; Wht Gluten,"1,646,842","754,821","2,034,094","2,716,975","579,933","3,029,171","1,544,868","1,801,527","1,264,694","1,936,073","1,032,013","972,491","468,505","732,026","825,231","1,087,974","1,135,645","2,087,367","1,122,854","1,507,047","919,648","838,000","723,217","1,626,308","586,871","956,972","501,973","403,292","793,109","907,300","972,612","883,433","803,513","1,136,678","1,066,967","724,772","426,453","1,013,106","842,512","560,392","473,178","778,086","830,067","97,404","641,962","934,962","497,640","1,068,829","542,038","569,981","554,711","615,177","754,685","888,746","637,995","710,659"
"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","1,969,517,527","1,077,382,113","446,792,592","162,908,337","55,726,675","44,765,611","50,779,428","46,367,915","418,988,021","2,855,126,330","2,405,293,423","1,522,713,963","1,436,034,027","1,186,353,711","451,821,155","84,873,101","82,657,665","110,427,699","492,570,470","858,340,986","1,058,095,964","3,538,159,307","3,230,371,736","2,375,734,425","1,801,152,391","1,119,406,076","547,744,404","320,215,250","200,526,980","182,308,155","231,034,427","508,066,740","1,133,358,615","2,736,207,618","2,481,440,100","1,579,047,204","1,281,107,295","861,974,166","475,729,372","214,965,696","261,541,469","148,265,080","85,053,956","85,698,087","30,229,177","122,620,062","26,146,124","71,860,027","491,820,755","772,026,439","533,285,988","229,956,285","481,154,549","637,135,840","724,333,892","995,165,163"
"13 Lac; Gums, Resins & Other Vegetable Sap & Extract","2,718,357","2,783,874","7,192,011","5,162,506","3,265,045","3,161,237","6,469,407","5,903,864","2,230,001","3,209,632","5,225,841","2,756,256","2,436,870","5,832,424","2,348,778","3,169,407","2,809,683","3,358,031","4,618,856","3,840,583","7,444,319","3,534,874","4,014,871","1,872,752","4,019,967","2,879,274","2,334,272","2,529,123","5,023,254","4,769,362","3,859,816","3,055,781","2,769,755","2,454,902","2,247,515","3,122,171","2,656,086","4,833,016","8,216,398","3,739,825","3,712,155","3,608,511","6,002,387","3,813,347","3,498,724","2,201,134","2,641,469","1,205,827","2,616,458","3,812,764","3,831,403","3,591,897","2,501,112","2,207,554","2,544,895","3,078,073"
14 Vegetable Plaiting Materials & Products Nesoi,"329,887","273,667","302,637","658,896","1,027,408","724,515","582,208","528,916","446,017","434,078","505,954","615,766","303,060","432,376","97,218","10,745","977,354","146,265","151,559","187,327","193,707","296,203","419,851","627,805","221,787","861,656","405,106","424,797","376,169","242,056","570,321","89,254","343,256","356,364","645,560","896,016","372,010","864,185","1,261,574","1,151,617","942,506","165,098","45,722","55,161","15,420","83,626","171,364","481,329","206,557",,"201,808","15,143","40,464",,,
"15 Animal Or Vegetable Fats, Oils Etc. & Waxes","2,142,482","3,029,426","6,944,135","2,655,102","4,183,358","3,796,553","4,088,345","3,843,785","2,947,939","3,316,334","4,286,238","16,551,863","3,038,468","2,246,844","4,156,982","2,351,822","4,091,932","3,923,748","2,772,630","4,216,075","34,464,919","29,489,641","32,916,159","21,836,265","3,258,065","26,438,157","3,731,348","3,591,029","4,056,451","3,185,358","2,659,093","3,979,145","2,990,050","3,644,338","3,579,666","3,845,220","4,850,799","4,044,658","5,172,910","5,120,394","5,736,017","4,044,465","4,290,549","5,214,227","4,169,899","4,747,726","4,856,046","2,502,494","2,683,064","3,295,073","2,928,980","3,507,623","4,070,157","3,891,855","3,180,218","3,915,584"
"16 Edible Preparations Of Meat, Fish, Crustaceans Etc","6,737,456","7,701,657","6,816,849","5,507,026","4,096,637","4,031,574","4,455,557","5,447,208","7,077,426","7,240,377","9,380,883","8,908,460","7,610,807","5,862,121","4,051,463","3,757,504","5,929,180","7,740,833","4,119,077","5,128,729","3,546,402","1,956,071","2,389,620","2,879,052","2,521,828","2,663,676","4,217,222","5,759,054","2,672,284","2,612,084","2,672,531","3,341,779","3,118,972","3,350,870","3,681,673","3,864,379","7,755,954","4,059,612","2,172,912","4,857,495","4,347,265","5,722,615","4,261,594","5,308,463","5,145,880","4,180,023","4,218,323","2,650,091","2,090,338","2,704,891","2,393,763","289,659","444,958","1,365,904","178,570","345,336"
17 Sugars And Sugar Confectionary,"5,471,345","5,136,204","7,654,425","7,843,819","6,173,731","8,050,330","5,832,036","5,979,830","6,376,148","4,867,052","6,035,367","4,993,477","4,159,463","4,263,988","4,781,130","4,540,273","6,417,272","4,847,345","3,990,461","6,613,797","4,637,689","6,725,555","6,281,869","5,987,207","5,383,876","5,322,005","6,931,201","6,863,427","6,029,162","6,113,465","6,975,771","8,671,017","6,187,103","7,513,662","6,038,743","7,056,914","6,025,287","7,551,291","8,360,571","9,605,532","7,866,831","9,335,475","7,223,683","9,566,279","8,063,405","8,365,794","6,962,887","6,719,793","6,457,862","6,788,182","7,832,161","7,735,583","4,347,095","6,464,856","6,732,809","6,175,064"
18 Cocoa And Cocoa Preparations,"1,633,963","1,335,186","1,273,750","2,493,713","3,429,736","4,427,623","3,984,366","3,441,369","4,405,334","2,837,761","3,851,685","2,215,213","1,189,689","1,894,485","1,339,168","2,356,164","3,261,560","3,857,907","2,046,651","2,145,057","4,091,028","3,270,254","3,193,631","2,639,199","1,044,263","1,305,023","1,496,023","1,562,487","2,142,639","3,693,771","2,146,346","2,430,254","2,552,212","3,506,325","4,164,420","1,552,920","1,727,494","2,072,193","1,137,447","2,604,086","1,597,241","4,436,510","2,412,869","2,302,012","5,053,610","4,765,159","3,320,708","2,948,897","2,399,528","1,295,306","2,517,512","2,858,574","4,661,549","3,580,970","2,914,586","3,317,777"
"19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","3,695,451","2,983,000","3,797,870","4,966,979","7,115,151","8,671,997","9,214,643","7,442,360","9,207,315","9,332,067","10,689,090","10,423,757","7,672,696","5,895,592","7,108,718","4,999,092","5,706,682","6,068,989","5,214,209","4,878,359","5,892,732","7,203,294","5,463,750","6,834,060","4,247,430","4,481,894","6,671,236","7,186,784","5,898,829","7,460,588","6,451,307","9,603,130","9,811,174","9,661,284","8,670,276","9,186,592","5,790,284","5,633,603","6,493,097","10,174,797","9,257,084","6,843,974","7,961,360","8,285,517","8,950,393","9,860,349","6,338,068","5,316,456","7,438,761","5,451,840","8,412,486","9,103,669","9,934,138","6,916,671","7,983,053","10,621,516"
"20 Prep Vegetables, Fruit, Nuts Or Other Plant Parts","8,541,103","11,184,234","15,963,682","19,153,323","20,484,571","20,525,499","20,150,614","24,472,160","19,598,799","22,949,527","22,576,296","22,895,692","13,831,063","26,943,069","19,089,375","24,227,206","28,383,466","27,308,759","18,599,801","21,726,870","26,433,883","19,308,143","22,497,359","17,987,077","14,655,810","19,773,643","24,135,620","19,480,541","24,573,002","21,248,346","17,056,849","17,687,812","14,590,998","21,653,411","17,904,372","18,913,857","8,514,522","13,698,004","25,944,255","28,806,665","28,631,157","27,871,779","22,205,343","19,906,263","17,506,751","22,010,853","52,759,128","25,356,928","10,771,272","16,405,792","13,853,846","14,006,814","16,124,112","20,134,084","18,498,228","14,986,578"
21 Miscellaneous Edible Preparations,"6,717,551","10,453,433","13,729,987","18,304,070","16,417,441","13,794,440","12,457,426","12,675,244","12,291,072","13,095,655","18,747,367","13,409,689","14,560,215","13,533,283","13,461,842","14,869,959","13,080,585","10,832,779","11,067,209","10,044,280","10,565,158","11,495,426","13,152,370","10,777,550","9,149,101","17,833,433","14,605,066","14,968,493","21,559,768","16,667,008","19,951,643","13,998,312","17,901,990","17,191,905","18,794,291","15,900,376","12,195,348","13,154,465","20,204,666","18,732,613","27,270,406","20,813,844","22,479,783","33,500,398","23,097,906","25,047,172","23,737,185","26,388,667","21,162,676","21,481,617","22,667,702","24,266,349","30,748,459","26,258,099","24,179,420","27,900,727"
"22 Beverages, Spirits And Vinegar","7,130,569","5,597,277","11,888,973","9,296,854","10,963,864","18,188,093","29,362,414","14,563,083","6,988,462","64,123,928","38,043,188","24,325,957","47,472,996","24,220,760","69,796,359","84,998,140","43,626,323","14,462,493","17,174,286","12,237,261","37,989,528","13,896,111","57,000,218","10,433,685","7,424,401","5,799,828","6,957,546","10,628,441","10,008,884","8,583,618","9,709,837","7,758,703","9,761,760","8,936,763","22,780,260","85,352,141","4,621,640","59,887,458","42,098,359","12,464,283","11,474,831","8,792,941","7,641,066","7,863,403","4,645,820","6,513,213","9,399,396","6,123,329","4,414,978","5,292,661","6,849,143","6,888,126","7,587,636","8,359,237","5,730,704","8,611,598"
23 Food Industry Residues & Waste; Prep Animal Feed,"52,985,770","93,718,151","158,407,850","198,534,790","292,674,673","276,077,921","299,952,057","238,564,569","162,289,487","127,727,144","104,046,251","73,397,700","76,583,745","82,541,443","67,571,346","63,738,375","87,533,531","112,130,723","132,275,138","93,681,655","58,690,688","66,333,597","38,187,642","36,629,406","37,726,143","34,691,067","39,793,436","44,901,810","37,061,091","32,663,526","28,276,960","31,063,387","30,925,639","34,469,726","30,653,410","31,620,401","20,619,238","28,441,195","33,743,476","40,002,070","33,294,077","29,530,796","31,253,535","31,049,225","27,165,410","32,663,613","34,847,859","21,543,529","21,631,419","20,176,507","32,940,601","43,216,117","32,991,356","29,675,046","25,531,813","33,054,442"
24 Tobacco And Manufactured Tobacco Substitutes,"2,234,246","22,167,397","127,274,063","37,777,766",,"16,964","541,300","951,495","1,784,540","3,657,862","1,683,000",,"10,452,040","114,003,526","47,533,782",,"153,509","2,560",,,"95,728","22,176",,"21,965","24,414","3,713,807","120,691,932","37,958,849","66,856","70,461",,,,"150,000","7,033",,,"8,732,790","120,023,278","21,218,920","7,977,024","30,000",,"13,880",,"5,550",,"23,003","8,160","3,120","29,402","29,705","36,335","127,680","334,896","73,073"
25 Salt; Sulfur; Earth & Stone; Lime & Cement Plaster,"13,956,072","19,739,429","16,932,480","16,972,387","31,994,458","15,990,037","14,420,172","16,765,628","22,244,824","14,072,748","15,017,611","19,787,578","17,003,070","13,497,142","20,224,742","16,960,279","18,192,080","17,788,533","16,095,009","21,067,297","23,488,361","18,214,230","18,203,341","17,949,369","25,463,457","23,656,917","25,795,544","26,056,301","27,431,901","43,022,451","31,191,002","27,528,579","26,968,825","35,691,502","36,202,259","28,209,757","24,421,637","31,689,041","35,670,523","39,720,345","26,372,628","29,143,998","35,631,091","15,861,186","21,648,341","30,264,952","25,217,349","17,937,677","29,622,167","19,062,218","18,973,435","19,117,452","26,216,957","23,509,816","16,868,657","16,474,405"
