Commodity,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019
"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",,"9,500","4,742","8,782","7,735","3,173",,"3,000","6,797","50,634","3,260",,"2,980","5,390","63,792",,"55,259","12,020","8,050","43,805","11,000","4,208",,,"4,758","599,857","32,000","73,450",,"85,785",,"19,528",,,,"4,600","4,919","51,493","4,685",,"21,949","3,165",,"57,701",,"8,710",,"10,322",,"38,653",,,"10,381",,,
47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,"292,964,184","249,156,439","282,233,780","293,365,230","292,676,871","308,228,489","315,021,825","286,436,248","288,866,392","283,851,215","262,744,955","258,197,442","258,946,823","251,940,282","239,413,788","265,865,208","277,921,256","268,372,611","286,253,526","293,604,557","296,894,111","317,289,017","306,328,152","304,814,103","328,605,391","293,902,271","296,960,831","248,201,614","248,372,990","260,429,032","282,838,587","273,998,407","268,111,044","263,971,489","272,168,416","320,526,498","249,935,267","237,167,278","247,624,187","218,525,272","235,182,515","251,287,810","219,149,726","231,024,713","249,997,496","280,284,571","271,258,417","221,701,166","188,596,135","178,391,453","221,768,622","214,262,918","205,821,654","209,278,231","188,329,824","211,191,461"
48 Paper & Paperboard & Articles (inc Papr Pulp Artl),"50,982,540","61,038,137","75,509,855","74,598,764","67,809,523","64,019,633","67,107,593","58,180,589","59,493,459","63,216,880","60,057,700","47,010,506","51,862,231","56,006,291","60,515,464","55,696,077","59,493,158","54,649,756","64,573,353","68,457,973","66,945,039","59,890,979","54,725,758","47,561,055","65,252,190","63,865,763","68,352,580","63,197,195","62,607,411","61,165,090","65,457,288","58,547,627","63,168,940","69,619,324","68,278,459","66,083,499","58,181,422","67,727,354","76,274,311","74,656,085","73,109,266","83,419,343","80,461,058","86,774,143","83,472,077","77,431,124","73,846,214","51,592,100","55,544,117","48,007,273","59,586,172","57,074,298","56,622,067","53,220,885","57,190,763","55,810,110"
"49 Printed Books, Newspapers Etc; Manuscripts Etc","11,779,134","12,135,990","14,685,644","13,967,361","15,260,142","18,218,072","16,680,633","16,721,447","16,847,820","16,731,116","15,796,357","19,998,611","14,803,982","9,287,319","13,598,409","12,963,005","11,747,609","13,330,710","15,573,962","13,465,970","12,190,065","26,500,978","10,044,727","17,031,489","10,584,145","11,098,939","13,218,780","12,044,607","13,671,117","14,982,145","11,882,191","14,734,098","12,216,169","11,675,800","11,371,586","16,486,002","10,500,509","8,873,439","14,921,853","10,905,733","15,842,883","15,227,732","13,858,527","13,656,105","11,478,742","12,077,802","10,864,220","14,892,912","11,029,081","9,270,250","14,044,495","9,677,794","11,833,106","13,676,101","9,849,593","14,284,330"
"50 Silk, Including Yarns And Woven Fabric Thereof","7,742","17,100","35,217","55,799","29,880","30,758","24,092","111,194","2,613","64,208","58,621","26,900",,"197,256","34,110","94,127","99,197","53,652","43,497","74,652","16,154","9,293","7,160","88,439","17,254","25,019","125,927","63,252","58,808","54,517","37,042","46,984","620,113","1,298,895","1,731,353","1,253,565","368,125","90,093","487,785","462,826","1,041,039","11,430",,"2,923",,"14,379",,"17,792",,"13,023",,,,,"2,605",
"51 Wool & Animal Hair, Including Yarn & Woven Fabric","13,270","1,169,449","540,453","935,253","1,936,057","1,533,257","1,527,685","1,338,986","1,291,023","832,720","413,154","764,930","397,610","317,526","1,492,668","734,780","739,422","1,174,486","1,116,388","431,031","327,555","185,851","802,431","394,814","480,674","208,136","1,119,513","825,939","2,063,129","2,115,289","2,503,290","1,846,101","830,441","2,104,532","1,029,208","1,768,638","610,901","617,937","956,407","1,531,930","2,939,028","2,239,332","3,247,461","1,757,325","353,538","227,966","266,924","214,810","450,427","327,495","305,353","1,050,606","1,603,086","986,956","257,129","874,481"
"52 Cotton, Including Yarn And Woven Fabric Thereof","92,648,494","145,045,180","191,375,420","172,606,845","135,839,739","70,995,778","41,347,263","23,204,188","14,671,467","21,130,563","31,291,255","30,312,878","31,297,486","39,070,914","51,103,216","55,037,474","60,507,004","49,217,615","41,106,790","52,501,617","41,387,367","31,740,387","93,675,123","117,292,182","136,329,405","153,418,468","152,461,374","89,477,585","56,964,834","44,101,791","52,507,623","71,640,329","43,449,542","28,201,577","71,082,384","149,027,317","156,799,850","148,889,334","141,492,428","126,335,260","90,896,881","44,459,331","46,436,125","23,581,712","33,648,332","25,563,332","47,746,169","62,817,126","53,820,535","67,709,029","77,791,529","93,550,669","101,418,155","59,264,655","29,985,575","29,965,729"
53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,"117,094","3,850","29,977","14,788","49,995","53,136","34,356",,"14,204","8,681","103,542","32,951","15,306","9,960","26,462","22,971","17,480","72,043","22,775","17,179","11,958","21,752","86,776","53,149","8,073","10,099","34,487",,,"10,035","33,298","19,453","61,682","7,488","3,303","52,638","6,325","8,076","20,376","11,925","8,690","2,664","58,781","7,609",,"4,761","171,439","6,584","46,433",,,"39,880","14,298","32,670","42,572","58,880"
"54 Manmade Filaments, Including Yarns & Woven Fabrics","8,459,147","6,582,090","7,828,404","9,591,948","7,385,498","9,717,785","7,897,890","10,757,554","7,497,606","6,517,287","7,534,123","9,055,036","8,592,552","8,606,352","8,207,499","10,704,333","7,945,893","7,019,359","8,222,262","11,414,894","9,190,014","7,966,819","6,816,026","7,001,502","9,964,080","9,832,619","10,809,677","10,432,572","9,828,027","9,786,570","8,462,891","9,038,703","10,415,902","9,883,481","7,226,334","7,329,152","6,198,226","7,573,494","9,555,469","10,559,545","9,004,597","11,311,950","8,711,239","9,593,771","7,691,492","9,728,923","8,683,490","8,997,469","9,306,566","7,002,290","10,303,742","7,355,463","7,672,580","10,031,200","10,420,985","8,373,428"
"55 Manmade Staple Fibers, Incl Yarns & Woven Fabrics","28,790,836","17,991,113","8,003,342","32,828,538","31,639,816","27,863,780","24,515,529","24,385,773","26,820,555","29,699,821","24,166,369","29,899,568","22,509,298","20,733,923","23,986,083","14,053,984","18,347,766","14,324,907","17,368,322","17,999,703","19,691,235","13,333,138","18,405,446","16,453,501","10,047,781","12,051,547","15,379,954","14,864,822","13,375,245","18,434,578","15,142,846","15,583,409","17,366,567","15,876,180","14,049,144","11,700,706","11,243,645","11,072,248","12,062,877","12,898,818","10,996,576","15,483,549","15,967,466","10,632,211","11,501,831","8,036,468","7,673,375","4,593,561","4,321,356","3,323,690","5,458,982","5,133,788","6,078,849","6,647,706","4,220,156","4,786,905"
