"","X","hs4","Tariff","imposed_by","Date","effective_tariff_increase","perc_change_tariff","TIER.1.DESCRIPTION","Sector","Product.Description"
"95",95,"0305","chn60b1","CHN",2018-09-24,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption."
"96",96,"0305","chn60b2","CHN",2019-05-13,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption."
"97",97,"0305","chn75b1","CHN",2019-09-01,0.0247469716869021,2.47469716869021,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption."
"98",98,"0305","chn75b2","CHN",2019-12-15,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption."
"99",99,"0306","chn16","CHN",2018-08-08,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"100",100,"0306","chn3","CHN",2018-04-02,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"101",101,"0306","chn34","CHN",2018-07-06,0.131951059145233,13.1951059145233,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"102",102,"0306","chn60b1","CHN",2018-09-24,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"103",103,"0306","chn60b2","CHN",2019-05-13,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"104",104,"0306","chn75b1","CHN",2019-09-01,0.0527804236580931,5.27804236580931,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"105",105,"0306","chn75b2","CHN",2019-12-15,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crust"
"106",106,"0307","chn16","CHN",2018-08-08,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"107",107,"0307","chn3","CHN",2018-04-02,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"108",108,"0307","chn34","CHN",2018-07-06,0.248469541896125,24.8469541896125,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"109",109,"0307","chn60b1","CHN",2018-09-24,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"110",110,"0307","chn60b2","CHN",2019-05-13,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"111",111,"0307","chn75b1","CHN",2019-09-01,0.09938781675845,9.938781675845,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"112",112,"0307","chn75b2","CHN",2019-12-15,0,0,"Fish and crustaceans, molluscs and other acquatic invertebrates","Agricultural","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebr"
"113",113,"0308","chn16","CHN",2018-08-08,0,0,NA,NA,NA
"114",114,"0308","chn3","CHN",2018-04-02,0,0,NA,NA,NA
"115",115,"0308","chn34","CHN",2018-07-06,0.25,25,NA,NA,NA
"116",116,"0308","chn60b1","CHN",2018-09-24,0,0,NA,NA,NA
"117",117,"0308","chn60b2","CHN",2019-05-13,0,0,NA,NA,NA
"118",118,"0308","chn75b1","CHN",2019-09-01,0.1,10,NA,NA,NA
"119",119,"0308","chn75b2","CHN",2019-12-15,0,0,NA,NA,NA
"120",120,"0401","chn16","CHN",2018-08-08,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"121",121,"0401","chn3","CHN",2018-04-02,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"122",122,"0401","chn34","CHN",2018-07-06,0.25,25,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"123",123,"0401","chn60b1","CHN",2018-09-24,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"124",124,"0401","chn60b2","CHN",2019-05-13,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"125",125,"0401","chn75b1","CHN",2019-09-01,0.05,5,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"126",126,"0401","chn75b2","CHN",2019-12-15,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, not concentrated nor containing added sugar or other sweetening matter."
"127",127,"0402","chn16","CHN",2018-08-08,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"128",128,"0402","chn3","CHN",2018-04-02,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"129",129,"0402","chn34","CHN",2018-07-06,0.25,25,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"130",130,"0402","chn60b1","CHN",2018-09-24,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"131",131,"0402","chn60b2","CHN",2019-05-13,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"132",132,"0402","chn75b1","CHN",2019-09-01,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"133",133,"0402","chn75b2","CHN",2019-12-15,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Milk and cream, concentrated or containing added sugar or other sweetening matter."
"134",134,"0403","chn16","CHN",2018-08-08,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa."
"135",135,"0403","chn3","CHN",2018-04-02,0,0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Agricultural","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa."
